Node:567.051,475.837 | Pred:583.5,463.119 | Edge:pr41 | Cost:180
Node:472.942,970.012 | Pred:529.102,924.17 | Edge:ud7 | Cost:463
Node:244.48,888.2 | Pred:260.321,821.275 | Edge:pr26 | Cost:416
Node:508.429,1069.85 | Pred:472.942,970.012 | Edge:ud6 | Cost:508
Node:595.062,815.979 | Pred:575.198,773.407 | Edge:cg42 | Cost:359
Node:979.874,1066.59 | Pred:989.299,1017.05 | Edge:cb23 | Cost:583
Node:425.91,841.124 | Pred:471.207,853.345 | Edge:ud18 | Cost:401
Node:497.854,784.906 | Pred:499.186,756.566 | Edge:cg49 | Cost:344
Node:534.906,702.824 | Pred:517.144,679.835 | Edge:cg53 | Cost:299
Node:1039.55,610.976 | Pred:997.291,620.221 | Edge:ab13 | Cost:426
Node:714.047,713.128 | Pred:673.102,665.989 | Edge:cg16 | Cost:324
Node:415.26,353.14 | Pred:503.99,361.175 | Edge:nv9 | Cost:183
Node:563.931,1287.93 | Pred:516.062,1258.66 | Edge:pr34 | Cost:624
Node:1455.96,887.463 | Pred:1319.34,831.651 | Edge:ao7 | Cost:670
Node:1104.97,544.247 | Pred:952.796,490.041 | Edge:pr6 | Cost:431
Node:501.291,646.942 | Pred:532.329,627.047 | Edge:ud36 | Cost:279
Node:620.218,921 | Pred:623.485,887.02 | Edge:cg41 | Cost:452
Node:913.46,190.23 | Pred:963.5,347.156 | Edge:nw4 | Cost:373
Node:674.581,534.291 | Pred:583.5,463.119 | Edge:pr2 | Cost:224
Node:723.5,556.909 | Pred:697,544.718 | Edge:pr4 | Cost:262
Node:678.42,940.95 | Pred:685.926,908.084 | Edge:cg39 | Cost:436
Node:1037.89,1059 | Pred:1030.55,1041.02 | Edge:cb22 | Cost:596
Node:1080.89,1004.99 | Pred:1051.84,975.729 | Edge:cb15 | Cost:573
Node:519,900.5 | Pred:553.571,908.41 | Edge:ud9 | Cost:433
Node:369.388,1238.11 | Pred:508.429,1069.85 | Edge:ud1 | Cost:626
Node:409.224,422.353 | Pred:414.345,392.207 | Edge:sv46 | Cost:227
Node:799.931,1079.43 | Pred:795.156,1048.03 | Edge:sq17 | Cost:543
Node:819.176,724.329 | Pred:749.049,685.804 | Edge:abi13 | Cost:355
Node:516.062,1258.66 | Pred:508.429,1069.85 | Edge:sq25 | Cost:588
216
